"Model","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"WHO",12,18,5,17,11,16,3,19,32,57
"ChatGPT.4.0",13,31,8,20,14,20,6,46,34,90
"ChatGPT.Vision",10,27,9,20,15,20,8,51,33,93
"ScholarGPT",13,38,12,26,29,23,9,67,40,126
"Gemini",9,29,8,28,12,24,7,42,42,65
"Llama3",4,9,4,10,3,9,2,22,19,33
"Bing.AI..Copilot.",8,19,6,16,13,12,4,44,26,77
"Google.Palm",6,29,7,19,16,17,10,57,31,100
"Claude",7,36,8,22,21,15,12,53,27,101
"ReKa.Core",16,53,11,28,36,29,18,94,57,152
"Solar.Mini",7,28,5,20,17,16,12,51,29,83
